n,kappa,law,gamma,strength,replication,method,estimate
1000,1,gaussian,1.5,2.1213203435596393,72,BGS25,2.0911059656047812
1000,1,gaussian,1.5,2.1213203435596393,72,BGN11,2.0929020866775563
1000,1,gaussian,1.5,2.1213203435596393,73,Algorithm 1,2.06535562443242
1000,1,gaussian,1.5,2.1213203435596393,73,BGS25,2.0470082926446382
1000,1,gaussian,1.5,2.1213203435596393,73,BGN11,2.0505267336229136
1000,1,gaussian,1.5,2.1213203435596393,74,Algorithm 1,2.0827441771593045
1000,1,gaussian,1.5,2.1213203435596393,74,BGS25,2.109242755061383
1000,1,gaussian,1.5,2.1213203435596393,74,BGN11,2.111547271983112
1000,1,gaussian,1.5,2.1213203435596393,75,Algorithm 1,2.0792074494200015
1000,1,gaussian,1.5,2.1213203435596393,75,BGS25,2.1023490283166097
1000,1,gaussian,1.5,2.1213203435596393,75,BGN11,2.101826288898619
1000,1,gaussian,1.5,2.1213203435596393,76,Algorithm 1,2.1340510323059743
1000,1,gaussian,1.5,2.1213203435596393,76,BGS25,2.093282439597682
1000,1,gaussian,1.5,2.1213203435596393,76,BGN11,2.0868378766343714
1000,1,gaussian,1.5,2.1213203435596393,77,Algorithm 1,2.0202932958200566
1000,1,gaussian,1.5,2.1213203435596393,77,BGS25,2.0353750975996503
1000,1,gaussian,1.5,2.1213203435596393,77,BGN11,2.038684262143709
1000,1,gaussian,1.5,2.1213203435596393,78,Algorithm 1,2.097278343441302
1000,1,gaussian,1.5,2.1213203435596393,78,BGS25,2.1400532334945215
1000,1,gaussian,1.5,2.1213203435596393,78,BGN11,2.1376015961716908
1000,1,gaussian,1.5,2.1213203435596393,79,Algorithm 1,2.198004042416524
1000,1,gaussian,1.5,2.1213203435596393,79,BGS25,2.2108424662110115
1000,1,gaussian,1.5,2.1213203435596393,79,BGN11,2.2153844568037475
1000,1,gaussian,1.5,2.1213203435596393,80,Algorithm 1,2.1586570600355195
1000,1,gaussian,1.5,2.1213203435596393,80,BGS25,2.1574991571420514
1000,1,gaussian,1.5,2.1213203435596393,80,BGN11,2.159214127531859
1000,1,gaussian,1.5,2.1213203435596393,81,Algorithm 1,2.02055220413867
1000,1,gaussian,1.5,2.1213203435596393,81,BGS25,2.059405866709117
1000,1,gaussian,1.5,2.1213203435596393,81,BGN11,2.059644057987167
1000,1,gaussian,1.5,2.1213203435596393,82,Algorithm 1,2.1098155790360207
1000,1,gaussian,1.5,2.1213203435596393,82,BGS25,2.1094568128651225
1000,1,gaussian,1.5,2.1213203435596393,82,BGN11,2.111732797746755
1000,1,gaussian,1.5,2.1213203435596393,83,Algorithm 1,2.1907566016183826
1000,1,gaussian,1.5,2.1213203435596393,83,BGS25,2.2187326594574652
1000,1,gaussian,1.5,2.1213203435596393,83,BGN11,2.222879023189154
1000,1,gaussian,1.5,2.1213203435596393,84,Algorithm 1,2.1192047070902977
1000,1,gaussian,1.5,2.1213203435596393,84,BGS25,2.072204062719944
1000,1,gaussian,1.5,2.1213203435596393,84,BGN11,2.077876378563013
1000,1,gaussian,1.5,2.1213203435596393,85,Algorithm 1,2.1036191781584956
1000,1,gaussian,1.5,2.1213203435596393,85,BGS25,2.1428928363113586
1000,1,gaussian,1.5,2.1213203435596393,85,BGN11,2.1433281228517624
1000,1,gaussian,1.5,2.1213203435596393,86,Algorithm 1,2.188284374220933
