n,p,kappa,law,gamma,strength,replication,method,estimate
1000,600,1,gaussian,1.5,1.8669989318654328,71,SN13,1.8416543380050925
1000,600,1,gaussian,1.5,1.8669989318654328,71,OptShrink,1.8455529414435712
1000,600,1,gaussian,1.5,1.8669989318654328,72,Algorithm 3,1.9229475542201155
1000,600,1,gaussian,1.5,1.8669989318654328,72,SN13,1.9334015509348579
1000,600,1,gaussian,1.5,1.8669989318654328,72,OptShrink,1.9373787802399673
1000,600,1,gaussian,1.5,1.8669989318654328,73,Algorithm 3,1.8422352910202748
1000,600,1,gaussian,1.5,1.8669989318654328,73,SN13,1.868733202982397
1000,600,1,gaussian,1.5,1.8669989318654328,73,OptShrink,1.8729277820860923
1000,600,1,gaussian,1.5,1.8669989318654328,74,Algorithm 3,1.9099706061006405
1000,600,1,gaussian,1.5,1.8669989318654328,74,SN13,1.914385570514703
1000,600,1,gaussian,1.5,1.8669989318654328,74,OptShrink,1.9182670624692486
1000,600,1,gaussian,1.5,1.8669989318654328,75,Algorithm 3,1.9087179939122174
1000,600,1,gaussian,1.5,1.8669989318654328,75,SN13,1.9081227415928275
1000,600,1,gaussian,1.5,1.8669989318654328,75,OptShrink,1.9124113855070461
1000,600,1,gaussian,1.5,1.8669989318654328,76,Algorithm 3,1.8813905422382267
1000,600,1,gaussian,1.5,1.8669989318654328,76,SN13,1.8697001913854994
1000,600,1,gaussian,1.5,1.8669989318654328,76,OptShrink,1.8735590744034734
1000,600,1,gaussian,1.5,1.8669989318654328,77,Algorithm 3,1.8067645385557816
1000,600,1,gaussian,1.5,1.8669989318654328,77,SN13,1.8407236605360713
1000,600,1,gaussian,1.5,1.8669989318654328,77,OptShrink,1.8447208702593254
1000,600,1,gaussian,1.5,1.8669989318654328,78,Algorithm 3,1.8621705034913516
1000,600,1,gaussian,1.5,1.8669989318654328,78,SN13,1.8919671522604244
1000,600,1,gaussian,1.5,1.8669989318654328,78,OptShrink,1.8963943956103733
1000,600,1,gaussian,1.5,1.8669989318654328,79,Algorithm 3,1.9629810165217314
1000,600,1,gaussian,1.5,1.8669989318654328,79,SN13,1.937739306307669
1000,600,1,gaussian,1.5,1.8669989318654328,79,OptShrink,1.9414742191960193
1000,600,1,gaussian,1.5,1.8669989318654328,80,Algorithm 3,1.8862267369101722
1000,600,1,gaussian,1.5,1.8669989318654328,80,SN13,1.873664229378566
1000,600,1,gaussian,1.5,1.8669989318654328,80,OptShrink,1.8777060855365273
1000,600,1,gaussian,1.5,1.8669989318654328,81,Algorithm 3,1.7976961756010845
1000,600,1,gaussian,1.5,1.8669989318654328,81,SN13,1.8518079529118834
1000,600,1,gaussian,1.5,1.8669989318654328,81,OptShrink,1.8553268497831523
1000,600,1,gaussian,1.5,1.8669989318654328,82,Algorithm 3,1.8916603982475906
1000,600,1,gaussian,1.5,1.8669989318654328,82,SN13,1.8786869038585703
1000,600,1,gaussian,1.5,1.8669989318654328,82,OptShrink,1.8825199253999483
1000,600,1,gaussian,1.5,1.8669989318654328,83,Algorithm 3,1.8777855598915172
1000,600,1,gaussian,1.5,1.8669989318654328,83,SN13,1.9128029994830946
1000,600,1,gaussian,1.5,1.8669989318654328,83,OptShrink,1.9164327610549377
1000,600,1,gaussian,1.5,1.8669989318654328,84,Algorithm 3,1.916325767286307
1000,600,1,gaussian,1.5,1.8669989318654328,84,SN13,1.9218106486942357
1000,600,1,gaussian,1.5,1.8669989318654328,84,OptShrink,1.9256664487006707
1000,600,1,gaussian,1.5,1.8669989318654328,85,Algorithm 3,1.7874314740183153
1000,600,1,gaussian,1.5,1.8669989318654328,85,SN13,1.7617549947726776
1000,600,1,gaussian,1.5,1.8669989318654328,85,OptShrink,1.7662916630052812
1000,600,1,gaussian,1.5,1.8669989318654328,86,Algorithm 3,1.782748950373919
1000,600,1,gaussian,1.5,1.8669989318654328,86,SN13,1.8223043152522989
1000,600,1,gaussian,1.5,1.8669989318654328,86,OptShrink,1.8262348871425194
1000,600,1,gaussian,1.5,1.8669989318654328,87,Algorithm 3,1.818543159663978
1000,600,1,gaussian,1.5,1.8669989318654328,87,SN13,1.8032310382272263
1000,600,1,gaussian,1.5,1.8669989318654328,87,OptShrink,1.8071589227631004
1000,600,1,gaussian,1.5,1.8669989318654328,88,Algorithm 3,1.838981630228636
1000,600,1,gaussian,1.5,1.8669989318654328,88,SN13,1.8477426471765368
1000,600,1,gaussian,1.5,1.8669989318654328,88,OptShrink,1.8516606264397104
1000,600,1,gaussian,1.5,1.8669989318654328,89,Algorithm 3,1.854545135148965
1000,600,1,gaussian,1.5,1.8669989318654328,89,SN13,1.8344140377708804
1000,600,1,gaussian,1.5,1.8669989318654328,89,OptShrink,1.8382160965840846
1000,600,1,gaussian,1.5,1.8669989318654328,90,Algorithm 3,1.875879049843102
1000,600,1,gaussian,1.5,1.8669989318654328,90,SN13,1.8528532456149334
1000,600,1,gaussian,1.5,1.8669989318654328,90,OptShrink,1.8569521806721394
1000,600,1,gaussian,1.5,1.8669989318654328,91,Algorithm 3,1.8584234073801327
1000,600,1,gaussian,1.5,1.8669989318654328,91,SN13,1.8598154112546128
1000,600,1,gaussian,1.5,1.8669989318654328,91,OptShrink,1.8641084652208388
1000,600,1,gaussian,1.5,1.8669989318654328,92,Algorithm 3,1.8864385148131702
1000,600,1,gaussian,1.5,1.8669989318654328,92,SN13,1.8849277150075125
1000,600,1,gaussian,1.5,1.8669989318654328,92,OptShrink,1.8891021445516682
1000,600,1,gaussian,1.5,1.8669989318654328,93,Algorithm 3,1.8145247605594992
1000,600,1,gaussian,1.5,1.8669989318654328,93,SN13,1.8379126496074127
1000,600,1,gaussian,1.5,1.8669989318654328,93,OptShrink,1.8415361063535434
1000,600,1,gaussian,1.5,1.8669989318654328,94,Algorithm 3,1.8001954678726992
1000,600,1,gaussian,1.5,1.8669989318654328,94,SN13,1.796999564235319
1000,600,1,gaussian,1.5,1.8669989318654328,94,OptShrink,1.8006550065098597
1000,600,1,gaussian,1.5,1.8669989318654328,95,Algorithm 3,1.8712597018374078
1000,600,1,gaussian,1.5,1.8669989318654328,95,SN13,1.8558313346664572
1000,600,1,gaussian,1.5,1.8669989318654328,95,OptShrink,1.8596924300464217
1000,600,1,gaussian,1.5,1.8669989318654328,96,Algorithm 3,1.8785605116623805
1000,600,1,gaussian,1.5,1.8669989318654328,96,SN13,1.8785650033597794
1000,600,1,gaussian,1.5,1.8669989318654328,96,OptShrink,1.8824757113531962
1000,600,1,gaussian,1.5,1.8669989318654328,97,Algorithm 3,1.8831619001480178
1000,600,1,gaussian,1.5,1.8669989318654328,97,SN13,1.8838032328019583
1000,600,1,gaussian,1.5,1.8669989318654328,97,OptShrink,1.8874496375511398
1000,600,1,gaussian,1.5,1.8669989318654328,98,Algorithm 3,1.8955618756332981
1000,600,1,gaussian,1.5,1.8669989318654328,98,SN13,1.8607239760841239
1000,600,1,gaussian,1.5,1.8669989318654328,98,OptShrink,1.8648929305069888
1000,600,1,gaussian,1.5,1.8669989318654328,99,Algorithm 3,1.9258170731023545
